Title,Date,Location,Business,Vacancy,Status,Duration,Job ID,Hours per Week,Minimum Salary,Maximum Salary,Duration of Salary,  NOC Number,NOC Title After Comparison,,,NOC Number Master List,NOC Title Master List
economist,07-Apr-20,Ottawa,Bank of Canada,17 Vacancies,Permanent,Full time,1448615,37.5,"$104,925","$139,900",year,4162,Economists and economic policy researchers and analysts,,,6552,Other customer and information services representatives
retail store supervisor,07-Apr-20,Dundas,Mac's Convenience Store,1 Vacancy,Permanent,Full time,1448618,40,$18.50,,hour,6211,Retail sales supervisors,,,6561,"Image, social and other personal consultants"
child caregiver - private home,03-Apr-20,York,Juditha Leonardo,1 Vacancy,Permanent,Full time,1446898,44,$15.00,,hour,4411,Home child care providers,,,6562,"Estheticians, electrologists and related occupations"
child caregiver - private home,01-Apr-20,Brampton,Gerardo Gaddi,1 Vacancy,Permanent,Full time,,40,$14.50,,hour,4411,Home child care providers,,,6563,Pet groomers and animal care workers
administrative services officer,01-Apr-20,Richmond Hill,Mass Electronics Ltd.,1 Vacancy,Permanent,Full time,1443746,40,$24.00,,hour,1221,Administrative officers,,,6564,Other personal service occupations
"supervisor, food services",01-Apr-20,Hamilton,Subway,1 Vacancy,Permanent,Full time,1445838,35,$24.25,,hour,6311,Food service supervisors,,,6611,Cashiers
dental technician,01-Apr-20,Burlington,Burlington Denture Clinic,1 Vacancy,Permanent,Full time,1445837,40,$25.00,$27.00,hour,3223,"Dental technologists, technicians and laboratory assistants",,,6621,Service station attendants
"supervisor, food services",01-Apr-20,Mississauga,Subway,1 Vacancy,Permanent,Full time,1445836,35,$24.25,,hour,6311,Food service supervisors,,,6622,"Store shelf stockers, clerks and order fillers"
restaurant manager,31-Mar-20,Lansdowne,Riverview B & B,1 Vacancy,Permanent,Full time,1445170,40,$23.25,,hour,631,Restaurant and food service managers,,,6623,Other sales related occupations
"general manager - financial, communications and other business services",31-Mar-20,Toronto,Stanton Chase International,1 Vacancy,Permanent,Full time,1444865,40,$62.00,,hour,13,"Senior managers - financial, communications and other business services",,,6711,"Food counter attendants, kitchen helpers and related support occupations"
inventory control supervisor,30-Mar-20,Mississauga,Canadian Fruit & Produce Co. Inc.,1 Vacancy,Permanent,Full time,1444478,35 to 40,$24.04,,hour,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",,,6721,"Support occupations in accommodation, travel and facilities set-up services"
marketing co-ordinator,30-Mar-20,Burlington,Burlington Royal Arts Adacemy,1 Vacancy,Permanent,Full time,1444283,30,$28.00,$32.00,hour,1123,"Professional occupations in advertising, marketing and public relations",,,6722,"Operators and attendants in amusement, recreation and sport"
"general manager, trucking company",30-Mar-20,Brampton,Nav Transport Inc.,1 Vacancy,Permanent,Full time,1445630,35,$55.00,,hour,16,"Senior managers - construction, transportation, production and utilities",,,6731,Light duty cleaners
"administrative assistant, medical",30-Mar-20,Toronto,FAMILY DENTISTRY ON QUEEN,1 Vacancy,Permanent,Full time,1444342,30 to 40,$25.00,,hour,1243,Medical administrative assistants,,,6732,Specialized cleaners
food service supervisor,30-Mar-20,Hamilton,Little Caesars Pizza ,1 Vacancy,Permanent,Full time,1444482,40 to 44,$15.00,,hour,6311,Food service supervisors,,,6733,"Janitors, caretakers and building superintendents"
illustrator and graphic designer,30-Mar-20,Toronto,Ubisoft Toronto Inc.,3 Vacancies,Permanent,Full time,1444339,40,"$56,000","$100,000",year,5241,Graphic designers and illustrators,,,6741,"Dry cleaning, laundry and related occupations"
refrigeration mechanic,30-Mar-20,Pickering,RAW MECHANICAL LTD.,1 Vacancy,Permanent,Full time,1443307,40,$30.00,,hour,7313,"Heating, refrigeration and air conditioning mechanics",,,6742,"Other service support occupations, n.e.c."
housekeeper,30-Mar-20,Port Carling,Beverly and Hugh Smith,1 Vacancy,Permanent,Full time,1444084,30,$16.50,,hour,4412,"Home support workers, housekeepers and related occupations",,,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
food service supervisor,30-Mar-20,Hamilton,Wings up,1 Vacancy,Permanent,Full time,1444649,30 to 35,$16.00,,hour,6311,Food service supervisors,,,7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
office administrative assistant,30-Mar-20,Woodbridge,Good Books Inc.,1 Vacancy,Permanent,Full time,1444346,30 to 35,$20.00,$25.00,hour,1241,Administrative assistants,,,7203,"Contractors and supervisors, pipefitting trades"
general construction labourer,27-Mar-20,Whitby,OPTILINX SYSTEMS INC,1 Vacancy,Permanent,Full time,1444584,40,$17.00,$18.00,hour,7611,Construction trades helpers and labourers,,,7204,"Contractors and supervisors, carpentry trades"
hydrovac truck operator,27-Mar-20,Oshawa,OPTILINX SYSTEMS INC,1 Vacancy,Permanent,Full time,1444583,40,$26.00,$36.00,hour,7511,Transport truck drivers,,,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
Cable installer - telecommunications,27-Mar-20,Oshawa,OPTILINX SYSTEMS INC,1 Vacancy,Permanent,Full time,1444582,40,$19.44,$25.00,hour,7245,Telecommunications line and cable workers,,,7231,Machinists and machining and tooling inspectors
excavator operator,27-Mar-20,Whitby,OPTILINX SYSTEMS INC,1 Vacancy,Permanent,Full time,1444587,40 to 48,$19.44,$26.00,hour,7521,Heavy equipment operators (except crane),,,7232,Tool and die makers
utility locator,27-Mar-20,Whitby,OPTILINX SYSTEMS INC,1 Vacancy,Permanent,Full time,1444588,40 to 48,$25.00,$31.00,hour,7522,Public works maintenance equipment operators and related workers,,,7233,Sheet metal workers
pastry chef,24-Mar-20,Mississauga,La Novita Bakery ,2 Vacancies,Permanent,Full time,1442145,35,$24.50,$26.00,hour,6321,Chefs,,,7234,Boilermakers
pastry chef,24-Mar-20,Toronto,CALEDONIA BAKERY & PASTRY INC.,1 Vacancy,Permanent,Full time,1442142,35,$24.50,$26.00,hour,6321,Chefs,,,7235,Structural metal and platework fabricators and fitters
construction project co-ordinator,20-Mar-20,Concord,Advance Forming Inc.,1 Vacancy,Permanent,Full time,1440851,40,$39.78,,hour,711,Construction managers,,,7236,Ironworkers
vice-president head of technology and operations,20-Mar-20,Ottawa,Corel Corporation,1 Vacancy,Permanent,Full time,1441002,37.5,"$160,000","$200,000",year,13,"Senior managers - financial, communications and other business services",,,7237,Welders and related machine operators
carpenter,24-Mar-20,Brampton,ALTA CONCRETE STRUCTURES INC.,2 Vacancies,Permanent,Full time,1442150,35,$29.00,$31.00,hour,7271,Carpenters,,,7241,Electricians (except industrial and power system)
assistant accountant,20-Mar-20,North York,Canadian Property Management Inc,4 Vacancies,Permanent,Full time,,30 to 40,$26.54,,hour,1212,"Supervisors, finance and insurance office workers",,,7242,Industrial electricians
office assistant,20-Mar-20,Sudbury,Prostitch,1 Vacancy,Permanent,Full time,1441356,40,$14.00,$17.00,hour,1411,General office support workers,,,7243,Power system electricians
administrative assistant,18-Mar-20,Etobicoke,Hannahpad Canada / The Brand Hannah,1 Vacancy,Permanent,Full time,1439504,30 to 40,$22.00,,hour,1241,Administrative assistants,,,7244,Electrical power line and cable workers
sales supervisor - retail,18-Mar-20,Brampton,Sahiba Inc.,2 Vacancies,Permanent,Full time,1439609,40,$18.00,,hour,6211,Retail sales supervisors,,,7245,Telecommunications line and cable workers
cook,19-Mar-20,North York,Wild Wing,2 Vacancies,Permanent,Full time,1440886,40,$16.00,,hour,6322,Cooks,,,7246,Telecommunications installation and repair workers
marketing co-ordinator,19-Mar-20,Aurora,ENHANCED CARE PHARMACY,1 Vacancy,Permanent,Full time,1436718,35,$31.00,$33.00,hour,1123,"Professional occupations in advertising, marketing and public relations",,,7247,Cable television service and maintenance technicians
child caregiver - private home,19-Mar-20,York,Private Household,1 Vacancy,Permanent,Full time,1440820,40,$15.00,,hour,4411,Home child care providers,,,7251,Plumbers
dean - university or college,19-Mar-20,Barry's Bay,Our Lady Seat of Wisdom College,1 Vacancy,Permanent,Full time,1439374,37.5 to 40,"$31,600","$33,200",year,421,Administrators - post-secondary education and vocational training,,,7252,"Steamfitters, pipefitters and sprinkler system installers"
food counter attendant,18-Mar-20,Thunder Bay,Domino's Pizza,1 Vacancy,Permanent,Full time,1439489,35 to 40,$14.00,,hour,6711,"Food counter attendants, kitchen helpers and related support occupations",,,7253,Gas fitters
business services officer,17-Mar-20,Brampton,PGL Truck Centre Ltd.,1 Vacancy,Permanent,Full time,1438915,40,$24.00,,hour,1221,Administrative officers,,,7271,Carpenters
specialist chef,19-Mar-20,Toronto,OYE EASY INDIAN,2 Vacancies,Permanent,Full time,1439868,44,$24.50,,hour,6321,Chefs,,,7272,Cabinetmakers
"supervisor, food services",17-Mar-20,Brampton,Bengla Sweets,1 Vacancy,Permanent,Full time,1438578,35,$24.75,,hour,6311,Food service supervisors,,,7281,Bricklayers
advertising specialist,16-Mar-20,Toronto,INDUSTRIAL PIXEL VISUAL EFFECTS CO.,1 Vacancy,Permanent,Full time,1437241,30,$30.35,,hour,1123,"Professional occupations in advertising, marketing and public relations",,,7282,Concrete finishers
administrative officer,17-Mar-20,Mississauga,Thompson Career College of Health & Business,1 Vacancy,Permanent,Part time leading to full time,1438356,35 to 40,$23.75,,hour,1221,Administrative officers,,,7283,Tilesetters
motor vehicle repair shop supervisor,17-Mar-20,Brampton,PGL Truck Centre Ltd.,1 Vacancy,Permanent,Full time,1438922,40,$32.50,,hour,7301,"Contractors and supervisors, mechanic trades",,,7284,"Plasterers, drywall installers and finishers and lathers"
restaurant cook,13-Mar-20,Brampton,Rajdhani Sweets & Restaurant,1 Vacancy,Term or contract,Full time,1437047,32 to 40,$24.50,$25.00,hour,6322,Cooks,,,7291,Roofers and shinglers
truck driver,17-Mar-20,Mississauga,Simran Truck Trailer & Car Repairs,1 Vacancy,Permanent,Full time,1438360,50,$20.00,,hour,7511,Transport truck drivers,,,7292,Glaziers
systems applications engineer,16-Mar-20,Mississauga,Clientserver Tech Systems,2 Vacancies,Permanent,Full time,1437819,40,$50.00,,hour,2173,Software engineers and designers,,,7293,Insulators
sous-chef,16-Mar-20,Toronto,REYNA ON KING,1 Vacancy,Permanent,Full time,1438558,40,$18.75,,hour,6321,Chefs,,,7294,Painters and decorators (except interior decorators)
cabinetmaker,12-Mar-20,Brantford,Leedwood LTD.,2 Vacancies,Permanent,Full time,1435311,40,$18.00,$19.00,hour,7272,Cabinetmakers,,,7295,Floor covering installers
retail store supervisor,11-Mar-20,Brampton,Petro Canada,1 Vacancy,Permanent,Full time,1422229,37.5 to 44,$17.50,,hour,6211,Retail sales supervisors,,,7301,"Contractors and supervisors, mechanic trades"
freight forwarding technician,16-Mar-20,Concord,SPARX LOGISTICS CANADA LIMITED,1 Vacancy,Permanent,Full time,1437831,40,$25.00,,hour,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",,,7302,"Contractors and supervisors, heavy equipment operator crews"
structural engineer,11-Mar-20,Kanata,ATA Engineering Inc,1 Vacancy,Permanent,Full time,1436308,37.5,"$40,000","$75,000",year,2131,Civil engineers,,,7303,"Supervisors, printing and related occupations"
registered dental hygienist,11-Mar-20,Sudbury,Charles H Trottier Dentistry Professional Corporation,1 Vacancy,Permanent,Full time,1436427,12 to 40,$30.00,$45.00,hour,3222,Dental hygienists and dental therapists,,,7304,"Supervisors, railway transport operations"
food service supervisor,12-Mar-20,Collingwood,Freshii,2 Vacancies,Permanent,Full time,1435514,35 to 40,$15.00,$17.00,hour,6311,Food service supervisors,,,7305,"Supervisors, motor transport and other ground transit operators"
certified intra-oral dental assistant,11-Mar-20,Sudbury,Charles H Trottier Dentistry Professional Corporation,1 Vacancy,Permanent,Full time,1436428,12 to 40,$14.00,$28.00,hour,3411,Dental assistants,,,7311,Construction millwrights and industrial mechanics
supervisor - retail,09-Mar-20,Toronto,2629546 ontario Inc.,1 Vacancy,Permanent,Full time,1433328,40,$18.00,,hour,6211,Retail sales supervisors,,,7312,Heavy-duty equipment mechanics
Web marketing manager,12-Mar-20,Etobicoke,VANPAK Ltd,1 Vacancy,Permanent,Full time,1432910,37.5,$39.00,,hour,124,"Advertising, marketing and public relations managers",,,7313,"Heating, refrigeration and air conditioning mechanics"
vehicle cleaner,09-Mar-20,Oakville,Uhaul Co. (Canada) Ltd,4 Vacancies,Term or contract,Part time,1433617,20,$14.00,,hour,6732,Specialized cleaners,,,7314,Railway carmen/women
"CFO (chief financial officer) - financial, communications and other business services",09-Mar-20,Toronto,LINDBERG HOMBURGER MODENT DENTAL STUDIOS LTD,1 Vacancy,Permanent,Full time,1422286,30,$52.10,,hour,13,"Senior managers - financial, communications and other business services",,,7315,Aircraft mechanics and aircraft inspectors
automobile leasing agent,05-Mar-20,Ottawa,Campbell Ford Sales Ltd,1 Vacancy,Permanent,Full time,1429911,40 to 50,"$35,000","$65,000",year,6421,Retail salespersons,,,7316,Machine fitters
sous-chef,09-Mar-20,Toronto,Ink Entertainment,1 Vacancy,Permanent,Full time,1432795,40,"$52,000","$55,000",year,6321,Chefs,,,7318,Elevator constructors and mechanics
nanny,05-Mar-20,North York,Jing Liu,1 Vacancy,Permanent,Full time,1426703,40,$15.00,,hour,4411,Home child care providers,,,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
sales clerk,06-Mar-20,Toronto,EMMO INC.,2 Vacancies,Permanent,Full time,1431532,35 to 48,$14.00,$16.00,hour,6421,Retail salespersons,,,7322,Motor vehicle body repairers
buyer - wholesale,05-Mar-20,Mississauga,S & S CASH & CARRY,1 Vacancy,Permanent,Full time,1431336,40,$25.00,,hour,6222,Retail and wholesale buyers,,,7331,Oil and solid fuel heating mechanics
vehicle cleaner,09-Mar-20,Brampton,Uhaul Co. (Canada) Ltd,8 Vacancies,Term or contract,Part time,1433598,20,$14.00,,hour,6732,Specialized cleaners,,,7332,Appliance servicers and repairers
"p?�tissier, baker",09-Mar-20,North York,Seara Bakery & Pastry Ltd.,4 Vacancies,Permanent,Full time,1431350,35 to 44,$18.00,$25.00,hour,6332,Bakers,,,7333,Electrical mechanics
financial officer,09-Mar-20,Oakville,SteriMax Inc.,1 Vacancy,Permanent,Full time,1432342,40,$23.50,,hour,1311,Accounting technicians and bookkeepers,,,7334,"Motorcycle, all-terrain vehicle and other related mechanics"
food service supervisor,09-Mar-20,Toronto,2673920 Ontario Inc.,1 Vacancy,Permanent,Full time,1429017,35,$15.00,,hour,6311,Food service supervisors,,,7335,Other small engine and small equipment repairers
food service supervisor,03-Mar-20,White River,whiteriver motel,2 Vacancies,Permanent,Full time,1428504,35 to 40,$14.00,$16.00,hour,6311,Food service supervisors,,,7361,Railway and yard locomotive engineers
cook,03-Mar-20,Woodbridge,Wild Wing Cityview,4 Vacancies,Permanent,Full time,1424340,35,$15.00,,hour,6322,Cooks,,,7362,Railway conductors and brakemen/women
restaurant supervisor,03-Mar-20,Woodbridge,Wild Wing Cityview,1 Vacancy,Permanent,Full time,1424465,35,$24.15,,hour,6311,Food service supervisors,,,7371,Crane operators
"managing supervisor, wholesale establishment",02-Mar-20,Woodbridge,TALESMA INC,1 Vacancy,Permanent,Full time,1428237,35,$35.00,$38.00,hour,621,Retail and wholesale trade managers,,,7372,"Drillers and blasters - surface mining, quarrying and construction"
CNC (computer numerical control) machinist,02-Mar-20,Mississauga,"ZED-3 Inc , Just Aluminum & Glass, Big Foot Door",1 Vacancy,Permanent,Full time,1427573,40,$24.00,,hour,7231,Machinists and machining and tooling inspectors,,,7373,Water well drillers
shift manager - fast food restaurant,02-Mar-20,Newmarket,KFC/TACO,1 Vacancy,Permanent,Full time,1427330,40,$16.00,,hour,6311,Food service supervisors,,,7381,Printing press operators
operations supervisor,03-Mar-20,Bolton,EVEREST TRANSPORT GROUP COMBIN LAKE LAND LOGISTICS,1 Vacancy,Permanent,Full time,1428492,40,$25.50,,hour,1211,"Supervisors, general office and administrative support workers",,,7384,"Other trades and related occupations, n.e.c."
software developer,02-Mar-20,Mississauga,NOVITA TECHNOLOGIES INC.,1 Vacancy,Permanent,Full time,1427775,35,$39.00,,hour,2174,Computer programmers and interactive media developers,,,7441,Residential and commercial installers and servicers
"sale executive, technical sales",02-Mar-20,Mississauga,Plymovent Inc.,1 Vacancy,Permanent,Full time,1426507,40,$43.27,,hour,6221,Technical sales specialists - wholesale trade,,,7442,Waterworks and gas maintenance workers
early childhood educator (E.C.E.),26-Feb-20,Ajax,The Elephant Room,3 Vacancies,Permanent,Full time,1424402,37.5,$17.00,,hour,4214,Early childhood educators and assistants,,,7444,Pest controllers and fumigators
"executive director - goods production, utilities, transportation and construction",26-Feb-20,Etobicoke,Aecon Infrastructure Management Inc.,1 Vacancy,Permanent,Full time,1424798,37.5,"$180,000","$200,000",year,16,"Senior managers - construction, transportation, production and utilities",,,7445,Other repairers and servicers
long haul driver,26-Feb-20,Mississauga,Smart Global Logistics Inc.,15 Vacancies,Permanent,Full time,,32 to 40,$24.00,,hour,7511,Transport truck drivers,,,7451,Longshore workers
software engineer,26-Feb-20,Toronto,Databricks,3 Vacancies,Permanent,Full time,,40,"$104,000","$156,000",year,2173,Software engineers and designers,,,7452,Material handlers
nanny,26-Feb-20,Brampton,Kanwal Jiwan,1 Vacancy,Permanent,Full time,,40,$14.00,,hour,4411,Home child care providers,,,7511,Transport truck drivers
"chief operating officer - goods production, utilities, transportation and construction",26-Feb-20,Etobicoke,PDI Construction Limited,1 Vacancy,Permanent,Full time,1424517,35,$58.00,,hour,16,"Senior managers - construction, transportation, production and utilities",,,7512,"Bus drivers, subway operators and other transit operators"
records office supervisor,26-Feb-20,Mississauga,MEERAB FRIEGHTLINES INC.,1 Vacancy,Permanent,Full time,1424535,35,$25.00,,hour,1211,"Supervisors, general office and administrative support workers",,,7513,Taxi and limousine drivers and chauffeurs
food service supervisor,26-Feb-20,Hamilton,Tim hortons,1 Vacancy,Permanent,Full time,1424547,40,$15.00,,hour,6311,Food service supervisors,,,7514,Delivery and courier service drivers
"vice-president - goods production, utilities, transportation and construction",26-Feb-20,Stoney Creek,Da-Lee Pavement Products,1 Vacancy,Permanent,Full time,1424109,44 to 60,"$115,000","$140,000",year,16,"Senior managers - construction, transportation, production and utilities",,,7521,Heavy equipment operators (except crane)
office administrator,26-Feb-20,Concord,GNK HOLDINGS INC.,1 Vacancy,Permanent,Full time,1420272,30,$24.36,,hour,1221,Administrative officers,,,7522,Public works maintenance equipment operators and related workers
administrative assistant,24-Feb-20,Mississauga,1st Call Industrial Ltd.,1 Vacancy,Permanent,Full time,1421735,35,$23.50,,hour,1241,Administrative assistants,,,7531,Railway yard and track maintenance workers
office administrator,24-Feb-20,Mississauga,Verico Alternate Mortgage Experts Inc.,1 Vacancy,Permanent,Full time,1421850,40,$24.00,,hour,1221,Administrative officers,,,7532,Water transport deck and engine room crew
shipping supervisor,24-Feb-20,Mississauga,Everest Freezers,1 Vacancy,Permanent,Full time,1421759,35 to 40,$23.50,,hour,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",,,7533,Boat and cable ferry operators and related occupations
plastic products manufacturing supervisor,24-Feb-20,North York,Plastic Plus Ltd,1 Vacancy,Permanent,Full time,,40,$37.50,,hour,9214,"Supervisors, plastic and rubber products manufacturing",,,7534,Air transport ramp attendants
child caregiver - private home,24-Feb-20,Woodbridge,GRECO FAMILY,1 Vacancy,Permanent,Full time,1421740,44,$15.00,,hour,4411,Home child care providers,,,7535,Other automotive mechanical installers and servicers
general farm worker,21-Feb-20,St. Catharines,Overholt Orchards Inc,20 Vacancies,Seasonal,Full time,1420674,40 to 60,$14.18,,hour,8431,General farm workers,,,7611,Construction trades helpers and labourers
textile-dyeing and finishing machine operator,19-Feb-20,Brampton,Canadian Textile Services Inc,4 Vacancies,Permanent,Full time,,40,$15.50,,hour,9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",,,7612,Other trades helpers and labourers
nurse,19-Feb-20,Scarborough,Hellenic Home for the Aged Scarborough Inc.,1 Vacancy,Permanent,Full time,,30,$35.00,,hour,3012,Registered nurses and registered psychiatric nurses,,,7621,Public works and maintenance labourers
restaurant manager,19-Feb-20,Bobcaygeon,SUBWAY FRANCHISE,1 Vacancy,Permanent,Full time,,37.5,$20.50,,hour,631,Restaurant and food service managers,,,7622,Railway and motor transport labourers
network operator,19-Feb-20,Brampton,Nexgen Technology Inc.,1 Vacancy,Permanent,Full time,,32,$32.50,,hour,2281,Computer network technicians,,,8211,"Supervisors, logging and forestry"
food service supervisor,19-Feb-20,Bobcaygeon,SUBWAY FRANCHISE,1 Vacancy,Permanent,Full time,,37.5,$14.50,,hour,6311,Food service supervisors,,,8221,"Supervisors, mining and quarrying"
home child care provider,19-Feb-20,Brampton,Shahi Family,1 Vacancy,Permanent,Full time,,30 to 40,$15.00,,hour,4411,Home child care providers,,,8222,"Contractors and supervisors, oil and gas drilling and services"
"general manager - financial, communications and other business services",20-Feb-20,Etobicoke,YES! EDUCATION CONSULTANCY SERVICES,1 Vacancy,Permanent,Full time,1420872,30,$52.50,,hour,13,"Senior managers - financial, communications and other business services",,,8231,Underground production and development miners
cook,14-Feb-20,Sarnia,Sitara Indian Cuisine,1 Vacancy,Permanent,Full time,,40 to 44,$17.00,,hour,6322,Cooks,,,8232,"Oil and gas well drillers, servicers, testers and related workers"
pipelayer - construction,14-Feb-20,Concord,GTA Underground Services Inc.,2 Vacancies,Permanent,Full time,,40,$40.32,,hour,7611,Construction trades helpers and labourers,,,8241,Logging machinery operators
food service supervisor,14-Feb-20,Toronto,PINNACLE CATERERS INC/PINNACLE CATERERS,1 Vacancy,Permanent,Full time,,40,$14.75,,hour,6311,Food service supervisors,,,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
head chef,14-Feb-20,Toronto,Touch,1 Vacancy,Permanent,Full time,,40,$24.00,,hour,6321,Chefs,,,8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
transport refrigeration technician,12-Feb-20,Mississauga,Stargate Logistics Ltd.,1 Vacancy,Permanent,Full time,1414511,35 to 40,$29.50,,hour,7313,"Heating, refrigeration and air conditioning mechanics",,,8261,Fishing masters and officers
cabinetmaker,12-Feb-20,Alton,applecreek kitchens,1 Vacancy,Permanent,Full time,1414311,40,$16.00,$26.00,hour,7272,Cabinetmakers,,,8262,Fishermen/women
administration officer,10-Feb-20,Ottawa,Light of India Restaurant,1 Vacancy,Permanent,Full time,,30,$24.00,,hour,1221,Administrative officers,,,8411,Underground mine service and support workers
construction labourer,10-Feb-20,Concord,BJ Brickwork Construction Ltd,2 Vacancies,Permanent,Full time,,40 to 44,$20.00,$25.00,hour,7611,Construction trades helpers and labourers,,,8412,Oil and gas well drilling and related workers and services operators
sales supervisor - retail,07-Feb-20,Drumbo,Truckers havean,1 Vacancy,Permanent,Full time,,40,$18.00,,hour,6211,Retail sales supervisors,,,8421,Chain saw and skidder operators
logistics supervisor,07-Feb-20,Hamilton,Paul Transport,1 Vacancy,Permanent,Full time,,37.5,$26.00,,hour,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",,,8422,Silviculture and forestry workers
"dismantler, automotive",10-Feb-20,Kitchener,Discount Auto,3 Vacancies,Permanent,Full time,,40 to 48,$14.00,,hour,7445,Other repairers and servicers,,,8431,General farm workers
fire alarm electronics technician,07-Feb-20,Mississauga,TYCO INTEGRATED FIRE & SECURITY,12 Vacancies,Permanent,Full time,,40 to 48,$23.00,$30.00,hour,2242,Electronic service technicians (household and business equipment),,,8432,Nursery and greenhouse workers
truck mechanic,07-Feb-20,Mississauga,Variety Truck Repair Ltd,1 Vacancy,Permanent,Full time,,35,$25.00,,hour,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",,,8441,Fishing vessel deckhands
administrative assistant - office,07-Feb-20,Brampton,Financial Boost ,1 Vacancy,Permanent,Full time,,40,$23.50,,hour,1241,Administrative assistants,,,8442,Trappers and hunters
building maintenance supervisor,04-Feb-20,Concord,IGTA Security System,1 Vacancy,Permanent,Full time,,30,$35.00,,hour,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",,,8611,Harvesting labourers
stonemason,04-Feb-20,Stouffville,Heritage Restoration INC,2 Vacancies,Permanent,Full time,1408145,40,$37.00,,hour,7281,Bricklayers,,,8612,Landscaping and grounds maintenance labourers
bricklayer,03-Feb-20,Elmvale,raedts masonry,2 Vacancies,Seasonal,Full time,,30 to 40,$20.00,$30.00,hour,7281,Bricklayers,,,8613,Aquaculture and marine harvest labourers
poultry farm manager,31-Jan-20,Wainfleet,Great Lakes Poultry Farms Ltd.,1 Vacancy,Permanent,Full time,,44 to 60,"$35,000","$40,000",year,821,Managers in agriculture,,,8614,Mine labourers
"manager, media relations",31-Jan-20,Markham,Xinflix Media,1 Vacancy,Permanent,Full time,,35,$39.00,,hour,124,"Advertising, marketing and public relations managers",,,8615,"Oil and gas drilling, servicing and related labourers"
"supervisor, truck drivers",05-Feb-20,Brampton,SOMAL TRANSPORT,1 Vacancy,Permanent,Full time,,40,$28.00,,hour,7305,"Supervisors, motor transport and other ground transit operators",,,8616,Logging and forestry labourers
automotive mechanic,31-Jan-20,Brampton,QUALITY OIL CHANGE & TIRE  SERVICE,2 Vacancies,Permanent,Full time,,40,$25.70,,hour,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",,,9211,"Supervisors, mineral and metal processing"
cabinetmaker,31-Jan-20,Pickering,1138205 Ontario Inc,1 Vacancy,Permanent,Full time,,44,$20.00,$25.00,hour,7272,Cabinetmakers,,,9212,"Supervisors, petroleum, gas and chemical processing and utilities"
"analyst, informatics security",11-May-20,Toronto,RBC,1 Vacancy,Permanent,Full time,,,,,,2171,Information systems analysts and consultants,,,9213,"Supervisors, food and beverage processing"
business analyst - economics,11-May-20,Toronto,RBC,1 Vacancy,Permanent,Full time,,,,,,4162,Economists and economic policy researchers and analysts,,,9214,"Supervisors, plastic and rubber products manufacturing"
"developer, software",11-May-20,Toronto,RBC,1 Vacancy,Permanent,Full time,,,,,,2174,Computer programmers and interactive media developers,,,9215,"Supervisors, forest products processing"
financial analyst,01-May-20,Richmond Hill,Sun Life Financial,1 Vacancy,Permanent,Full time,,,"$50,000",,year,1112,Financial and investment analysts,,,9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing"
bookkeeper,08-May-20,North York,California Thai,1 Vacancy,Permanent,Full time,,,,,,1311,Accounting technicians and bookkeepers,,,9221,"Supervisors, motor vehicle assembling"
"manager, marketing",08-May-20,East York,GOLDEN BRIDGE,1 Vacancy,Permanent,Full time,,,,,,124,"Advertising, marketing and public relations managers",,,9222,"Supervisors, electronics manufacturing"
bookkeeper,08-May-20,North York,TY PEAK TAX SERVICES INC.,1 Vacancy,Permanent,Full time,,,,,,1311,Accounting technicians and bookkeepers,,,9223,"Supervisors, electrical products manufacturing"
department manager - retail,08-May-20,Napanee,Dollarama,1 Vacancy,Permanent,Part time,,,,,,621,Retail and wholesale trade managers,,,9224,"Supervisors, furniture and fixtures manufacturing"
personal support worker - home support,07-May-20,Belleville,Saint Elizabeth Health Care,3 Vacancies,Permanent,Full time,,,,,,4412,"Home support workers, housekeepers and related occupations",,,9226,"Supervisors, other mechanical and metal products manufacturing"
LCV (long combination vehicule) driver,07-May-20,Mississauga,VTL Transport,5 Vacancies,Permanent,Full time,,,,,,7511,Transport truck drivers,,,9227,"Supervisors, other products manufacturing and assembly"
deburrer - metal products manufacturing,07-May-20,Vaughan,Access Career Solutions Inc.,4 Vacancies,Term or contract,Full time,,,,,,9612,Labourers in metal fabrication,,,9231,"Central control and process operators, mineral and metal processing"
product manager,08-May-20,Toronto,Indigo,1 Vacancy,Permanent,Full time,,,,,,601,Corporate sales managers,,,9232,"Central control and process operators, petroleum, gas and chemical processing"
"manager, data processing and systems analysis",08-May-20,Toronto,TD Bank,1 Vacancy,Permanent,Full time,,,,,,213,Computer and information systems managers,,,9235,"Pulping, papermaking and coating control operators"
